,Date,Price_TUSD/USD
0,2018-03-06,1.0115699768066406
1,2018-03-07,1.0049200057983398
2,2018-03-08,1.0163500308990479
3,2018-03-09,0.9952809810638428
4,2018-03-10,1.004639983177185
5,2018-03-11,1.000540018081665
6,2018-03-12,0.9921900033950806
7,2018-03-13,1.0034699440002441
8,2018-03-14,0.9961950182914734
9,2018-03-15,0.9918310046195984
10,2018-03-16,0.9885810017585754
11,2018-03-17,1.0009499788284302
12,2018-03-18,0.990218997001648
13,2018-03-19,1.0049400329589844
14,2018-03-20,1.0010199546813965
15,2018-03-21,0.9989299774169922
16,2018-03-22,1.009529948234558
17,2018-03-23,0.9935500025749207
18,2018-03-24,0.9988999962806702
19,2018-03-25,0.9958329796791077
20,2018-03-26,1.0009700059890747
21,2018-03-27,0.9994239807128906
22,2018-03-28,1.0002599954605103
23,2018-03-29,1.0082999467849731
24,2018-03-30,0.9944000244140625
25,2018-03-31,1.0004600286483765
26,2018-04-01,1.0062600374221802
27,2018-04-02,0.9973869919776917
28,2018-04-03,1.0017900466918945
29,2018-04-04,1.0032999515533447
30,2018-04-05,1.0097399950027466
31,2018-04-06,1.0096999406814575
32,2018-04-07,1.0070899724960327
33,2018-04-08,1.0084799528121948
34,2018-04-09,1.0085599422454834
35,2018-04-10,0.9995620250701904
36,2018-04-11,1.010509967803955
37,2018-04-12,1.0061099529266357
38,2018-04-13,1.0066299438476562
39,2018-04-14,1.0092300176620483
40,2018-04-15,1.0032000541687012
41,2018-04-16,0.9981139898300171
42,2018-04-17,0.9948800206184387
43,2018-04-18,1.0041500329971313
44,2018-04-19,0.9987099766731262
45,2018-04-20,0.9910879731178284
46,2018-04-21,1.0086300373077393
47,2018-04-22,0.9988570213317871
48,2018-04-23,0.9969249963760376
49,2018-04-24,1.0042799711227417
50,2018-04-25,0.996150016784668
51,2018-04-26,1.0065499544143677
52,2018-04-27,0.9972509741783142
53,2018-04-28,1.0056400299072266
54,2018-04-29,0.9948379993438721
55,2018-04-30,0.999101996421814
56,2018-05-01,0.9977200031280518
57,2018-05-02,0.9955390095710754
58,2018-05-03,0.9999060034751892
59,2018-05-04,0.9941830039024353
60,2018-05-05,0.9973999857902527
61,2018-05-06,0.9979770183563232
62,2018-05-07,1.0034300088882446
63,2018-05-08,1.0030800104141235
64,2018-05-09,0.9980630278587341
65,2018-05-10,0.999081015586853
66,2018-05-11,0.9990159869194031
67,2018-05-12,0.9969409704208374
68,2018-05-13,0.996396005153656
69,2018-05-14,1.0005500316619873
70,2018-05-15,1.001870036125183
71,2018-05-16,1.0105600357055664
72,2018-05-17,1.0060900449752808
73,2018-05-18,1.0082299709320068
74,2018-05-19,1.014739990234375
75,2018-05-20,1.0123900175094604
76,2018-05-21,1.0852299928665161
77,2018-05-22,1.0016599893569946
78,2018-05-23,1.0102900266647339
79,2018-05-24,1.000440001487732
80,2018-05-25,1.0201300382614136
81,2018-05-26,1.0075500011444092
82,2018-05-27,1.0132800340652466
83,2018-05-28,1.021530032157898
84,2018-05-29,1.0026600360870361
85,2018-05-30,0.9977750182151794
86,2018-05-31,1.003999948501587
87,2018-06-01,1.0026899576187134
88,2018-06-02,1.0029200315475464
89,2018-06-03,1.0026899576187134
90,2018-06-04,1.0041199922561646
91,2018-06-05,1.0043200254440308
92,2018-06-06,1.001389980316162
93,2018-06-07,1.0041899681091309
94,2018-06-08,1.001870036125183
95,2018-06-09,0.9999439716339111
96,2018-06-10,1.004580020904541
97,2018-06-11,1.0039399862289429
98,2018-06-12,1.0193400382995605
99,2018-06-13,1.006309986114502
100,2018-06-14,1.0069400072097778
101,2018-06-15,1.0110700130462646
102,2018-06-16,1.0074100494384766
103,2018-06-17,1.0108699798583984
104,2018-06-18,1.006309986114502
105,2018-06-19,1.0029100179672241
106,2018-06-20,1.0003199577331543
107,2018-06-21,1.0011800527572632
108,2018-06-22,1.0060299634933472
109,2018-06-23,0.9973559975624084
110,2018-06-24,1.003290057182312
111,2018-06-25,0.9993810057640076
112,2018-06-26,0.9999549984931946
113,2018-06-27,0.999131977558136
114,2018-06-28,1.0028899908065796
115,2018-06-29,1.0017499923706055
116,2018-06-30,0.9981889724731445
117,2018-07-01,1.0021300315856934
118,2018-07-02,0.9942160248756409
119,2018-07-03,1.0050699710845947
120,2018-07-04,0.9931690096855164
121,2018-07-05,1.0090199708938599
122,2018-07-06,1.0028899908065796
123,2018-07-07,1.0195800065994263
124,2018-07-08,0.9965630173683167
125,2018-07-09,0.9884660243988037
126,2018-07-10,0.9993730187416077
127,2018-07-11,0.9987649917602539
128,2018-07-12,0.9991160035133362
129,2018-07-13,1.001330018043518
130,2018-07-14,0.9991909861564636
131,2018-07-15,0.9976289868354797
132,2018-07-16,0.9977719783782959
133,2018-07-17,0.9938790202140808
134,2018-07-18,0.9904249906539917
135,2018-07-19,0.9905380010604858
136,2018-07-20,1.0003999471664429
137,2018-07-21,0.9949449896812439
138,2018-07-22,0.9950510263442993
139,2018-07-23,0.9953269958496094
140,2018-07-24,0.9928290247917175
141,2018-07-25,0.9948809742927551
142,2018-07-26,0.9982749819755554
143,2018-07-27,0.997875988483429
144,2018-07-28,0.9974380135536194
145,2018-07-29,0.9967939853668213
146,2018-07-30,0.997611
147,2018-07-31,1.00034
148,2018-08-01,1.00476
149,2018-08-02,1.0034
150,2018-08-03,0.99931
151,2018-08-04,0.998554
152,2018-08-05,1.00078
153,2018-08-06,1.00241
154,2018-08-07,1.00511
155,2018-08-08,1.00264
156,2018-08-09,1.00164
157,2018-08-10,1.00179
